Date,Open,High,Low,Close,Adj Close,Volume
2016-07-01,19.344999,19.370001,17.000000,17.924999,11.552607,3157497
2016-08-01,17.969999,19.975000,17.920000,19.030001,12.264778,2344267
2016-09-01,18.990000,19.315001,17.760000,18.110001,11.671839,1848960
2016-10-01,18.160000,20.350000,18.150000,20.190001,13.012394,1617232
2016-11-01,20.230000,21.600000,19.049999,19.735001,12.719148,4118105
2016-12-01,19.830000,23.270000,19.270000,22.600000,14.565633,5103488
2017-01-01,22.500000,26.469999,21.420000,25.430000,16.389559,29501573
2017-02-01,25.570000,26.100000,24.430000,25.200001,16.241323,3479252
2017-03-01,25.260000,27.955000,25.260000,26.725000,17.224180,3720062
2017-04-01,26.930000,27.200001,25.959999,27.155001,17.501312,25239155
2017-05-01,27.155001,28.940001,26.910000,28.570000,18.413279,5711199
2017-06-01,28.580000,30.225000,27.455000,29.525000,19.028772,34880913
2017-07-01,29.510000,32.450001,29.405001,31.950001,21.552067,5617230
2017-08-01,31.930000,33.520000,31.254999,32.555000,21.960173,5661539
2017-09-01,32.500000,34.404999,32.500000,33.845001,22.830351,16180970
2017-10-01,33.840000,36.764999,32.500000,35.200001,23.744373,9647120
2017-11-01,34.974998,35.810001,33.654999,34.250000,23.103546,7190314
2017-12-01,34.325001,35.450001,33.700001,34.305000,23.140646,5273832
2018-01-01,34.305000,36.299999,33.380001,35.200001,23.744373,6870672
2018-02-01,35.180000,37.560001,33.419998,36.939999,24.918106,7381670
2018-03-01,36.799999,37.060001,33.759998,34.720001,23.420588,10547822
2018-04-01,34.720001,39.340000,34.060001,39.160000,26.415615,12131816
2018-05-01,39.160000,39.880001,35.900002,36.200001,24.418934,11262198
2018-06-01,36.580002,37.020000,33.419998,34.980000,23.595970,12752539
2018-07-01,34.500000,38.299999,34.340000,38.299999,27.037663,8827436
2018-08-01,38.279999,41.240002,36.860001,41.099998,29.014303,9805794
2018-09-01,40.639999,42.299999,40.080002,41.060001,28.986065,9826043
2018-10-01,40.939999,43.020000,37.919998,40.160000,28.806293,13333358
2018-11-01,40.099998,41.880001,37.820000,38.099998,27.328678,9092553
2018-12-01,39.000000,39.299999,33.400002,34.580002,24.803825,9051980
2019-01-01,34.580002,38.020000,33.700001,36.860001,26.439238,7313060
2019-02-01,37.020000,38.919998,36.200001,38.740002,27.787745,6418954
2019-03-01,38.580002,39.080002,35.720001,37.099998,26.611389,7004501
2019-04-01,37.580002,40.029999,37.299999,39.599998,28.404613,6123279
2019-05-01,39.599998,39.599998,33.880001,33.959999,24.359104,7286560
2019-06-01,33.619999,36.240002,32.040001,35.759998,26.455952,11224978
2019-07-01,36.000000,37.459999,33.630001,34.029999,25.176065,10641408
2019-08-01,33.950001,34.480000,30.650000,31.809999,23.533661,12301098
2019-09-01,31.000000,34.259998,30.059999,33.869999,25.057692,11748963
2019-10-01,33.299999,34.299999,31.420000,32.810001,24.819660,10494397
2019-11-01,33.009998,35.459999,32.590000,33.730000,25.515608,8601877
2019-12-01,33.799999,34.700001,32.419998,33.360001,25.235714,8217837
2020-01-01,33.360001,36.490002,33.189999,33.639999,25.447525,11070975
2020-02-01,33.680000,37.840000,29.830000,30.120001,22.784763,15404796
2020-03-01,30.719999,30.830000,18.100000,22.959999,17.368462,29633029
2020-04-01,22.290001,26.010000,20.700001,24.549999,18.571247,14345517
2020-05-01,24.549999,26.020000,20.959999,24.700001,18.684719,14252370
2020-06-01,25.070000,29.770000,24.770000,27.340000,21.799219,14902633
2020-07-01,27.549999,30.200001,26.799999,27.330000,21.791246,9888730
2020-08-01,27.629999,31.940001,27.170000,29.049999,23.162666,10212151
2020-09-01,29.309999,30.900000,27.760000,28.700001,23.789879,12658874
2020-10-01,28.930000,29.980000,25.330000,26.100000,21.634697,9691985
2020-11-01,26.200001,33.060001,25.889999,31.280001,25.928484,10982125
2020-12-01,31.340000,33.599998,30.209999,32.849998,27.229877,10320984
2021-01-01,32.849998,34.910000,31.540001,31.920000,26.458988,10005307
2021-02-01,32.130001,36.099998,32.009998,34.599998,28.680477,9061410
2021-03-01,34.799999,38.660000,34.750000,38.209999,31.672865,11269152
2021-04-01,38.290001,38.849998,36.270000,36.410000,30.180819,9244822
2021-05-01,36.509998,37.869999,34.529999,35.209999,29.186119,8018993
2021-06-01,35.150002,35.570000,32.250000,32.590000,27.985119,11154454
2021-07-01,32.869999,35.049999,32.320000,34.650002,29.754049,11182977
2021-08-01,34.830002,40.310001,34.529999,38.720001,33.248966,10715581
2021-09-01,39.029999,39.779999,37.840000,39.520000,34.652950,10513600
2021-10-01,38.880001,41.189999,38.689999,40.459999,35.477177,9155483
2021-11-01,40.490002,40.779999,35.599998,37.730000,33.083397,8986072
2021-12-01,38.029999,40.959999,37.990002,40.500000,35.512257,10246092
2022-01-01,40.790001,43.599998,39.660000,41.189999,36.117279,8232550
2022-02-01,41.580002,43.560001,37.700001,38.529999,33.784870,9871608
2022-03-01,38.549999,43.110001,32.880001,42.230000,37.029202,26866610
2022-04-01,42.369999,46.290001,41.560001,43.340000,38.002495,9453381
2022-05-01,42.990002,45.060001,41.919998,42.500000,37.265945,8833333
2022-06-01,42.799999,43.160000,36.029999,38.570000,35.081585,9982353
2022-07-01,38.389999,40.730000,37.389999,40.700001,37.018940,6686400
2022-08-01,40.660000,43.209999,39.770000,40.669998,36.991650,7684853
2022-09-01,40.439999,43.270000,38.500000,39.570000,36.854156,10332067
2022-10-01,39.200001,46.080002,38.849998,44.590000,41.529613,10178117
2022-11-01,44.889999,45.110001,42.189999,43.490002,40.505116,11503662
2022-12-01,43.419998,45.830002,42.169998,44.349998,41.306087,8349102
2023-01-01,44.650002,45.139999,41.400002,43.380001,40.402660,10734094
2023-02-01,43.439999,43.759998,41.480000,43.060001,40.104626,8925428
2023-03-01,43.040001,44.000000,34.709999,36.740002,34.218391,22178140
2023-04-01,36.950001,40.400002,36.750000,39.840000,37.105625,9206946
2023-05-01,39.849998,41.689999,38.240002,39.799999,37.068371,8277721
2023-06-01,39.980000,41.349998,38.240002,41.240002,38.409538,10652708
2023-07-01,41.330002,42.130001,39.349998,41.290001,40.184017,11601430
2023-08-01,41.290001,43.209999,40.220001,40.369999,39.288658,21267456
2023-09-01,40.349998,42.799999,33.410000,35.520000,34.568573,19629519
2023-10-01,35.720001,37.380001,34.119999,35.200001,35.200001,10982548
2023-11-01,35.360001,43.020000,35.020000,42.270000,42.270000,13675295
2023-12-01,42.200001,44.590000,41.330002,42.700001,42.700001,11887664
2024-01-01,42.700001,43.830002,41.799999,42.580002,42.580002,4965622
