Date,Open,High,Low,Close,Adj Close,Volume
2016-06-13,19.799999,19.850000,19.500000,19.525000,12.583802,7307605
2016-06-20,19.629999,20.094999,19.049999,19.219999,12.387231,4441592
2016-06-27,19.100000,19.540001,18.250000,19.200001,12.374341,2182736
2016-07-04,19.334999,19.370001,17.139999,17.465000,11.256139,1457929
2016-07-11,17.799999,17.799999,17.000000,17.200001,11.085346,647968
2016-07-18,17.230000,18.155001,17.049999,17.885000,11.526830,572522
2016-07-25,17.815001,18.000000,17.309999,17.924999,11.552607,333892
2016-08-01,17.969999,18.605000,17.920000,18.150000,11.697619,555889
2016-08-08,18.180000,18.799999,18.180000,18.715000,12.061758,300988
2016-08-15,18.575001,18.639999,18.115000,18.500000,11.923192,351801
2016-08-22,18.400000,19.975000,18.344999,18.635000,12.010200,903292
2016-08-29,18.650000,19.240000,18.600000,19.129999,12.329227,435615
2016-09-05,19.150000,19.315001,18.820000,19.305000,12.442014,293273
2016-09-12,19.150000,19.190001,18.469999,18.785000,12.106874,510937
2016-09-19,18.834999,19.000000,18.245001,18.514999,11.932860,420241
2016-09-26,18.434999,18.594999,17.760000,18.110001,11.671840,421191
2016-10-03,18.160000,18.775000,18.150000,18.730000,12.071426,455809
2016-10-10,18.730000,19.030001,18.605000,19.020000,12.258333,191901
2016-10-17,19.049999,19.490000,18.879999,19.280001,12.425901,384583
2016-10-24,19.219999,20.325001,19.150000,20.325001,13.099401,514985
2016-10-31,20.299999,20.350000,19.415001,19.780001,12.748151,406124
2016-11-07,19.805000,20.389999,19.049999,20.125000,12.970502,420829
2016-11-14,20.205000,21.600000,20.205000,20.635000,13.299193,1507853
2016-11-21,20.844999,20.844999,19.955000,20.000000,12.889936,511224
2016-11-28,19.955000,20.035000,19.270000,19.410000,12.509686,1514072
2016-12-05,19.525000,21.299999,19.525000,21.000000,13.534434,1528539
2016-12-12,21.170000,21.385000,20.690001,21.385000,13.782568,1963346
2016-12-19,21.330000,23.270000,21.200001,22.600000,14.565630,1098511
2016-12-26,22.600000,22.670000,22.260000,22.600000,14.565630,341049
2017-01-02,22.500000,23.145000,22.139999,22.180000,14.294941,956775
2017-01-09,22.275000,24.490000,21.420000,24.490000,15.783731,24330703
2017-01-16,24.299999,25.245001,24.200001,24.990000,16.105982,1895970
2017-01-23,25.000000,26.440001,24.379999,26.200001,16.885820,1797612
2017-01-30,26.150000,26.469999,24.900000,25.219999,16.254211,1052542
2017-02-06,25.275000,25.750000,24.620001,25.334999,16.328329,676519
2017-02-13,25.385000,25.580000,24.430000,24.605000,15.857849,615301
2017-02-20,24.760000,25.850000,24.520000,25.150000,16.209099,1047976
2017-02-27,25.330000,25.799999,25.000000,25.705000,16.566793,1251741
2017-03-06,25.799999,27.299999,25.600000,27.280001,17.581877,968990
2017-03-13,27.504999,27.730000,26.950001,27.730000,17.871901,751049
2017-03-20,27.700001,27.955000,26.424999,26.480000,17.066277,571669
2017-03-27,26.434999,27.379999,25.895000,26.725000,17.224178,784040
2017-04-03,26.930000,26.930000,25.980000,26.799999,17.272518,22157368
2017-04-10,26.990000,26.990000,26.525000,26.764999,17.249958,930717
2017-04-17,26.764999,27.080000,25.959999,25.995001,16.753698,935630
2017-04-24,26.465000,27.200001,26.305000,27.155001,17.501316,1215440
2017-05-01,27.155001,28.350000,27.155001,28.129999,18.129696,1111526
2017-05-08,28.245001,28.500000,27.469999,27.900000,17.981464,1187920
2017-05-15,27.940001,28.555000,26.910000,27.850000,17.949244,1293903
2017-05-22,27.870001,28.090000,27.209999,27.275000,17.578653,774702
2017-05-29,27.299999,28.940001,27.270000,28.245001,18.203817,2103396
2017-06-05,28.275000,29.900000,27.820000,29.700001,20.034313,1620860
2017-06-12,29.760000,29.950001,28.850000,29.250000,19.730766,28365944
2017-06-19,29.400000,30.225000,29.030001,29.350000,19.798223,1980001
2017-06-26,29.389999,29.650000,28.600000,29.525000,19.916267,2153860
2017-07-03,29.510000,30.969999,29.405001,30.969999,20.891001,1670208
2017-07-10,31.000000,31.639999,30.825001,31.379999,21.167572,1729283
2017-07-17,31.420000,32.450001,31.105000,32.200001,21.720705,1154648
2017-07-24,32.200001,32.389999,31.565001,31.895000,21.514969,830275
2017-07-31,31.969999,32.959999,31.844999,32.700001,22.057981,1435428
